ID da Transação;Data;Tipo;Descrição;Categoria;Produto;Quantidade;Valor (R$);Custo (R$)
FIXA01SER;2025-01-01;Despesa;Serviços de Internet/Telefonia;Despesa Fixa;;0;-500.0;500.0
FIXA01CON;2025-01-01;Despesa;Contabilidade Mensal;Despesa Fixa;;0;-800.0;800.0
FIXA01ALU;2025-01-01;Despesa;Aluguel Escritório;Despesa Fixa;;0;-5000.0;5000.0
FIXA01SAL;2025-01-01;Despesa;Salários (Equipe Fixa);Despesa Fixa;;0;-15000.0;15000.0
CMV01013;2025-01-03;Despesa;Custo da Mercadoria Vendida (Webcam HD);Custo de Venda;Webcam HD;2;-200.0;200.0
CMV01017;2025-01-03;Despesa;Custo da Mercadoria Vendida (Laptop Empresarial);Custo de Venda;Laptop Empresarial;1;-3500.0;3500.0
VENDA01017;2025-01-03;Receita;Venda de 1x Laptop Empresarial;Venda - Hardware;Laptop Empresarial;1;5500.0;3500.0
VENDA01013;2025-01-03;Receita;Venda de 2x Webcam HD;Venda - Acessório;Webcam HD;2;380.0;200.0
VAR01MAT;2025-01-04;Despesa;Material de Escritório;Despesa Variável;;0;-123.03;123.03
VENDA01031;2025-01-05;Receita;Venda de 2x Webcam HD;Venda - Acessório;Webcam HD;2;380.0;200.0
VENDA01037;2025-01-05;Receita;Venda de 2x Servidor Cloud (Mensal);Venda - Serviço;Servidor Cloud (Mensal);2;3000.0;1600.0
CMV01037;2025-01-05;Despesa;Custo da Mercadoria Vendida (Servidor Cloud (Mensal));Custo de Venda;Servidor Cloud (Mensal);2;-1600.0;1600.0
CMV01004;2025-01-05;Despesa;Custo da Mercadoria Vendida (Laptop Empresarial);Custo de Venda;Laptop Empresarial;2;-7000.0;7000.0
VENDA01004;2025-01-05;Receita;Venda de 2x Laptop Empresarial;Venda - Hardware;Laptop Empresarial;2;11000.0;7000.0
VAR01UTI;2025-01-05;Despesa;Utilidades (Luz/Água);Despesa Variável;;0;-396.07;396.07
CMV01031;2025-01-05;Despesa;Custo da Mercadoria Vendida (Webcam HD);Custo de Venda;Webcam HD;2;-200.0;200.0
CMV01018;2025-01-08;Despesa;Custo da Mercadoria Vendida (Webcam HD);Custo de Venda;Webcam HD;2;-200.0;200.0
VENDA01018;2025-01-08;Receita;Venda de 2x Webcam HD;Venda - Acessório;Webcam HD;2;380.0;200.0
